Code;Title;Vintage;Size;ABV;Style;Country;Group;Available;Price (inc VAT);Price (ex-VAT);Link
HED3673;Lafite Rothschild 2005;2005;75cl;13;Red;France;Bordeaux;25;1000;833.33;https://hedonism.co.uk/product/lafite-rothschild-2005
HED4910;Figeac 2005;2005;75cl;13.5;Red;France;Bordeaux;9;310;258.33;https://hedonism.co.uk/product/figeac-2005
HED50489;Durfort Vivens 2005;2005;75cl;13.5;Red;France;Bordeaux;2;100;83.33;https://hedonism.co.uk/product/durfort-vivens-2005
HED50953;Gruaud Larose Magnum 2005;2005;150cl;13;Red;France;Bordeaux;6;240;200;https://hedonism.co.uk/product/gruaud-larose-magnum-2005
HED51333;Cote Rotie La Landonne Rostaing 2005;2005;75cl;13;Red;France;Northern Rhone;9;185;154.17;https://hedonism.co.uk/product/cote-rotie-la-landonne-rostaing-2005
HED51514;La Lagune 2005;2005;75cl;13;Red;France;Bordeaux;13;100;83.33;https://hedonism.co.uk/product/la-lagune-2005
HED51534;Chambolle Musigny Georges Roumier 2005;2005;75cl;13;Red;France;Burgundy;2;870;725;https://hedonism.co.uk/product/chambolle-musigny-georges-roumier-2005
HED53826;Leoville Poyferre 2005;2005;75cl;13.5;Red;France;Bordeaux;22;175;145.83;https://hedonism.co.uk/product/leoville-poyferre-2005
HED61840;Leoville Las Cases 300cl 2005;2005;300cl;12.5;Red;France;Bordeaux;3;1600;1333.33;https://hedonism.co.uk/product/leoville-las-cases-300cl-2005-0
HED66675;Cheval Blanc 2005;2005;75cl;14;Red;France;Bordeaux;16;1100;916.67;https://hedonism.co.uk/product/cheval-blanc-2005
HED68040;Tertre Roteboeuf 1500cl 2005;2005;1500cl;12.5;Red;France;Bordeaux;1;4655;3879.17;https://hedonism.co.uk/product/tertre-roteboeuf-1500cl-2005
HED68176;Branaire Ducru 2005;2005;75cl;13;Red;France;Bordeaux;23;100;83.33;https://hedonism.co.uk/product/branaire-ducru-2005
HED69312;Cos D`Estournel 2005;2005;75cl;13.5;Red;France;Bordeaux;35;225;187.5;https://hedonism.co.uk/product/cos-destournel-2005
HED69743;Kirwan 2005;2005;75cl;13.5;Red;France;Bordeaux;82;110;91.67;https://hedonism.co.uk/product/kirwan-2005
HED72767;Pape Clement 2005;2005;75cl;12.5;Red;France;Bordeaux;1;225;187.5;https://hedonism.co.uk/product/pape-clement-2005
HED72811;La Mission Haut Brion 600cl 2005;2005;600cl;14.5;Red;France;Bordeaux;1;7000;5833.33;https://hedonism.co.uk/product/la-mission-haut-brion-600cl-2005
HED76690;Verite La Muse 2005;2005;75cl;15.5;Red;United States;USA;1;495;412.5;https://hedonism.co.uk/product/verite-la-muse-2005
HED81624;Essence de Dourthe 600cl 2005;2005;600cl;13.5;Red;France;Bordeaux;1;1800;1500;https://hedonism.co.uk/product/essence-de-dourthe-600cl-2005
HED86089;Clos du Marquis 2005;2005;75cl;13;Red;France;Bordeaux;11;95;79.17;https://hedonism.co.uk/product/clos-du-marquis-2005
HED86467;Leoville Barton 2005;2005;75cl;13;Red;France;Bordeaux;63;160;133.33;https://hedonism.co.uk/product/leoville-barton-2005
HED87748;Bonnes Mares Georges Roumier 2005;2005;75cl;13.5;Red;France;Burgundy;1;2610;2175;https://hedonism.co.uk/product/bonnes-mares-georges-roumier-2005
HED88966;Beychevelle 2005;2005;75cl;13;Red;France;Bordeaux;12;135;112.5;https://hedonism.co.uk/product/beychevelle-2005
HED85152;Troplong Mondot 2005;2005;75cl;14.5;Red;France;Bordeaux;27;260;216.67;https://hedonism.co.uk/product/troplong-mondot-2005
HED0554;Les Forts de Latour 2005;2005;75cl;13;Red;France;Bordeaux;10;240;200;https://hedonism.co.uk/product/les-forts-de-latour-2005
HED54119;Clos de la Roche Jacky Truchot 2005;2005;75cl;13;Red;France;Burgundy;2;4080;3400;https://hedonism.co.uk/product/clos-de-la-roche-jacky-truchot-2005
HED80646;Chateauneuf du Pape Beaucastel 2005;2005;75cl;14.5;Red;France;Southern Rhone;25;130;108.33;https://hedonism.co.uk/product/chateauneuf-du-pape-beaucastel-2005
HED52743;Morey St Denis Clos Sorbes Jacky Truchot 2005;2005;75cl;13;Red;France;Burgundy;2;3220;2683.33;https://hedonism.co.uk/product/morey-st-denis-clos-sorbes-jacky-truchot-2005
HED0266;Penfolds Grange 2005;2005;75cl;14.5;Red;Australia;Australia;2;450;375;https://hedonism.co.uk/product/penfolds-grange-2005
HED0289;Torbreck The Factor Magnum 2005;2005;150cl;14.5;Red;Australia;Australia;1;240;200;https://hedonism.co.uk/product/torbreck-factor-magnum-2005
HED0328;Calon Segur Magnum 2005;2005;150cl;12.5;Red;France;Bordeaux;1;340;283.33;https://hedonism.co.uk/product/calon-segur-magnum-2005
HED0362;Ducru Beaucaillou 2005;2005;75cl;13;Red;France;Bordeaux;3;300;250;https://hedonism.co.uk/product/ducru-beaucaillou-2005
HED0393;Haut Brion 2005;2005;75cl;14;Red;France;Bordeaux;11;950;791.67;https://hedonism.co.uk/product/haut-brion-2005
HED0415;Hosanna 2005;2005;75cl;13.5;Red;France;Bordeaux;7;285;237.5;https://hedonism.co.uk/product/hosanna-2005
HED0432;La Mission Haut Brion 300cl 2005;2005;300cl;14.5;Red;France;Bordeaux;1;3250;2708.33;https://hedonism.co.uk/product/la-mission-haut-brion-300cl-2005
HED0522;Latour Magnum 2005;2005;150cl;13;Red;France;Bordeaux;6;2000;1666.67;https://hedonism.co.uk/product/latour-magnum-2005
HED0529;Le Pin 2005;2005;75cl;13;Red;France;Bordeaux;3;3280;2733.33;https://hedonism.co.uk/product/le-pin-2005
HED0602;Montrose 2005;2005;75cl;13;Red;France;Bordeaux;12;185;154.17;https://hedonism.co.uk/product/montrose-2005
HED0650;Mouton Rothschild Magnum 2005;2005;150cl;13;Red;France;Bordeaux;16;1650;1375;https://hedonism.co.uk/product/mouton-rothschild-magnum-2005
HED0671;Palmer Magnum 2005;2005;150cl;14;Red;France;Bordeaux;3;875;729.17;https://hedonism.co.uk/product/palmer-magnum-2005
HED0675;Pavie 2005;2005;75cl;14.5;Red;France;Bordeaux;22;525;437.5;https://hedonism.co.uk/product/pavie-2005
HED0686;Pavillon Rouge Margaux 2005;2005;75cl;13.5;Red;France;Bordeaux;25;240;200;https://hedonism.co.uk/product/pavillon-rouge-margaux-2005
HED0728;Pontet Canet 2005;2005;75cl;13;Red;France;Bordeaux;38;170;141.67;https://hedonism.co.uk/product/pontet-canet-2005
HED0738;Tertre Roteboeuf 2005;2005;75cl;14;Red;France;Bordeaux;20;350;291.67;https://hedonism.co.uk/product/tertre-roteboeuf-2005
HED0807;Bonnes Mares de Vogue 2005;2005;75cl;13;Red;France;Burgundy;4;900;750;https://hedonism.co.uk/product/bonnes-mares-de-vogue-2005
HED0867;Chambertin Clos de Beze Armand Rousseau 2005;2005;75cl;13.5;Red;France;Burgundy;1;3750;3125;https://hedonism.co.uk/product/chambertin-clos-de-beze-armand-rousseau-2005
HED1022;Echezeaux Robert Arnoux 2005;2005;75cl;13.5;Red;France;Burgundy;11;700;583.33;https://hedonism.co.uk/product/echezeaux-robert-arnoux-2005
HED12046;Lynch Bages 2005;2005;75cl;13;Red;France;Bordeaux;73;200;166.67;https://hedonism.co.uk/product/lynch-bages-2005
HED1693;Solaia Marchesi Antinori 2005;2005;75cl;13.5;Red;Italy;Italy;2;390;325;https://hedonism.co.uk/product/solaia-marchesi-antinori-2005
HED3602;Trotte Vieille 2005;2005;75cl;14;Red;France;Bordeaux;24;130;108.33;https://hedonism.co.uk/product/trotte-vieille-2005
HED51118;Potensac 2005;2005;75cl;13.5;Red;France;Bordeaux;14;50;41.67;https://hedonism.co.uk/product/potensac-2005
HED51331;Langoa Barton 2005;2005;75cl;13;Red;France;Bordeaux;4;90;75;https://hedonism.co.uk/product/langoa-barton-2005
HED5407;Sine Qua Non Atlantis Grenache 300cl 2005;2005;300cl;15.3;Red;United States;USA;1;1720;1433.33;https://hedonism.co.uk/product/sine-qua-non-atlantis-grenache-300cl-2005
HED64190;Chateauneuf du Pape Clos des Papes 2005;2005;75cl;14.5;Red;France;Southern Rhone;5;125;104.17;https://hedonism.co.uk/product/chateauneuf-du-pape-clos-des-papes-2005
HED68185;D`Armailhac 2005;2005;75cl;13;Red;France;Bordeaux;11;100;83.33;https://hedonism.co.uk/product/darmailhac-2005
HED68916;Clos L`Eglise 2005;2005;75cl;14;Red;France;Bordeaux;31;165;137.5;https://hedonism.co.uk/product/clos-leglise-2005
HED68961;Larcis Ducasse 2005;2005;75cl;14.5;Red;France;Bordeaux;24;300;250;https://hedonism.co.uk/product/larcis-ducasse-2005
HED70244;Grand Corbin 2005;2005;75cl;13;Red;France;Bordeaux;4;45;37.5;https://hedonism.co.uk/product/grand-corbin-2005
HED70266;Vosne Romanee Malconsorts Christiane de Montille 2005;2005;75cl;13;Red;France;Burgundy;12;1200;1000;https://hedonism.co.uk/product/vosne-romanee-malconsorts-christiane-de-montille-2005
HED71610;St Pierre 2005;2005;75cl;13;Red;France;Bordeaux;3;90;75;https://hedonism.co.uk/product/st-pierre-2005
HED7191;Brunello di Montalcino Riserva Soldera Magnum 2005;2005;150cl;13.5;Red;Italy;Italy;5;2200;1833.33;https://hedonism.co.uk/product/brunello-di-montalcino-riserva-soldera-magnum-2005
HED82897;Gevrey Chambertin Mes Cinq Terroirs Denis Mortet 2005;2005;75cl;13;Red;France;Burgundy;8;320;266.67;https://hedonism.co.uk/product/gevrey-chambertin-mes-cinq-terroirs-denis-mortet-2005
HED83873;El Pison Artadi 2005;2005;75cl;13.5;Red;Spain;Spain;2;312;260;https://hedonism.co.uk/product/el-pison-artadi-2005
HED85248;Bahans Haut Brion 2005;2005;75cl;13.5;Red;France;Bordeaux;30;140;116.67;https://hedonism.co.uk/product/bahans-haut-brion-2005
HED87920;Petrus 2005;2005;75cl;13.5;Red;France;Bordeaux;4;5500;4583.33;https://hedonism.co.uk/product/petrus-2005
HED88641;Rauzan Segla 2005;2005;75cl;13.5;Red;France;Bordeaux;19;175;145.83;https://hedonism.co.uk/product/rauzan-segla-2005
HED88787;Mouton Rothschild 300cl 2005;2005;300cl;13;Red;France;Bordeaux;1;3250;2708.33;https://hedonism.co.uk/product/mouton-rothschild-300cl-2005
HED89266;Latour 300cl 2005;2005;300cl;13;Red;France;Bordeaux;1;4600;3833.33;https://hedonism.co.uk/product/latour-300cl-2005
HED55722;Certan de May 2005;2005;75cl;13.5;Red;France;Bordeaux;8;165;137.5;https://hedonism.co.uk/product/certan-de-may-2005
HED55848;Prieure Lichine 2005;2005;75cl;13.5;Red;France;Bordeaux;10;75;62.5;https://hedonism.co.uk/product/prieure-lichine-2005
HED56201;Bellevue 2005;2005;75cl;12.5;Red;France;Bordeaux;6;90;75;https://hedonism.co.uk/product/bellevue-2005
HED56300;Domaine de Chevalier 2005;2005;75cl;13;Red;France;Bordeaux;19;110;91.67;https://hedonism.co.uk/product/domaine-de-chevalier-2005
HED56297;Haut Bailly 2005;2005;75cl;13;Red;France;Bordeaux;33;160;133.33;https://hedonism.co.uk/product/haut-bailly-2005
HED56468;Le Petit Cheval 2005;2005;75cl;13.5;Red;France;Bordeaux;8;220;183.33;https://hedonism.co.uk/product/le-petit-cheval-2005
HED56515;Ausone 2005;2005;75cl;14.3;Red;France;Bordeaux;6;1500;1250;https://hedonism.co.uk/product/ausone-2005
HED56788;Lynch Moussas 2005;2005;75cl;13;Red;France;Bordeaux;5;65;54.17;https://hedonism.co.uk/product/lynch-moussas-2005
HED58118;Lagrange 2005;2005;75cl;13;Red;France;Bordeaux;23;88;73.33;https://hedonism.co.uk/product/lagrange-2005
HED58093;Poujeaux 2005;2005;75cl;13.5;Red;France;Bordeaux;12;55;45.83;https://hedonism.co.uk/product/poujeaux-2005
HED58190;Canon 2005;2005;75cl;14;Red;France;Bordeaux;23;190;158.33;https://hedonism.co.uk/product/canon-2005
HED58419;Feytit Clinet 2005;2005;75cl;14;Red;France;Bordeaux;12;85;70.83;https://hedonism.co.uk/product/feytit-clinet-2005
HED58749;Moulin St Georges 2005;2005;75cl;14;Red;France;Bordeaux;34;60;50;https://hedonism.co.uk/product/moulin-st-georges-2005
HED59875;Tirant Priorat Rotllan Torra 2005;2005;75cl;;Red;Spain;Spain;6;70;58.33;https://hedonism.co.uk/product/tirant-priorat-rotllan-torra-2005
HED31649;La Tour Carnet 2005;2005;75cl;12;Red;France;Bordeaux;5;60;50;https://hedonism.co.uk/product/la-tour-carnet-2005
HED31944;Pegasos Soldera 2005;2005;75cl;13;Red;Italy;Italy;5;750;625;https://hedonism.co.uk/product/pegasos-soldera-2005
HED32760;D`Issan 2005;2005;75cl;13.5;Red;France;Bordeaux;8;115;95.83;https://hedonism.co.uk/product/dissan-2005
HED25526;Vosne Romanee Aux Reignots Comte Liger Belair Magnum 2005;2005;150cl;13.5;Red;France;Burgundy;3;5810;4841.67;https://hedonism.co.uk/product/vosne-romanee-aux-reignots-comte-liger-belair-magnum-2005
HED33915;Pape Clement 1500cl 2005;2005;1500cl;13;Red;France;Bordeaux;1;5160;4300;https://hedonism.co.uk/product/pape-clement-1500cl-2005
HED26194;Chambertin Clos de Beze Jadot 2005;2005;75cl;13.5;Red;France;Burgundy;2;514;428.33;https://hedonism.co.uk/product/chambertin-clos-de-beze-jadot-2005
HED34722;La Tache DRC Magnum 2005;2005;150cl;13;Red;France;Burgundy;1;21300;17750;https://hedonism.co.uk/product/la-tache-drc-magnum-2005
HED35124;Nenin 2005;2005;75cl;14;Red;France;Bordeaux;6;106;88.33;https://hedonism.co.uk/product/nenin-2005
HED35384;Chasse Spleen 2005;2005;75cl;13.5;Red;France;Bordeaux;37;60;50;https://hedonism.co.uk/product/chasse-spleen-2005
HED35825;Chateauneuf du Pape Vieux Telegraphe 2005;2005;75cl;14.5;Red;France;Southern Rhone;12;100;83.33;https://hedonism.co.uk/product/chateauneuf-du-pape-vieux-telegraphe-2005
HED36168;Vosne Romanee Bizot 2005;2005;75cl;13;Red;France;Burgundy;12;3950;3291.67;https://hedonism.co.uk/product/vosne-romanee-bizot-2005
HED37258;Musigny Mugnier 2005;2005;75cl;13;Red;France;Burgundy;3;3870;3225;https://hedonism.co.uk/product/musigny-mugnier-2005
HED37276;Charmes Chambertin Jacky Truchot 2005;2005;75cl;13;Red;France;Burgundy;1;3830;3191.67;https://hedonism.co.uk/product/charmes-chambertin-jacky-truchot-2005
HED38602;La Tour Haut Brion 2005;2005;75cl;13.5;Red;France;Bordeaux;5;120;100;https://hedonism.co.uk/product/la-tour-haut-brion-2005
HED38673;L`Eglise Clinet 2005;2005;75cl;14;Red;France;Bordeaux;1;550;458.33;https://hedonism.co.uk/product/leglise-clinet-2005
HED39613;Beaune Clos des Ursules Jadot 2005;2005;75cl;13.5;Red;France;Burgundy;4;100;83.33;https://hedonism.co.uk/product/beaune-clos-des-ursules-jadot-2005
HED39615;Nuits St Georges Clos de la Marechale Mugnier 2005;2005;75cl;13;Red;France;Burgundy;7;325;270.83;https://hedonism.co.uk/product/nuits-st-georges-clos-de-la-marechale-mugnier-2005
HED39976;Morey St Denis Vieilles Vignes Jacky Truchot 2005;2005;75cl;13;Red;France;Burgundy;2;2660;2216.67;https://hedonism.co.uk/product/morey-st-denis-vieilles-vignes-jacky-truchot-2005
HED90101;Gevrey Chambertin Les Champeaux Domaine Fourrier 2005;2005;75cl;13.5;Red;France;Burgundy;1;655;545.83;https://hedonism.co.uk/product/gevrey-chambertin-les-champeaux-domaine-fourrier-2005
HED90103;Vosne Romanee Les Suchots Robert Arnoux 2005;2005;75cl;13.5;Red;France;Burgundy;3;588;490;https://hedonism.co.uk/product/vosne-romanee-les-suchots-robert-arnoux-2005
HED90268;Barde Haut 2005;2005;75cl;14.5;Red;France;Bordeaux;19;70;58.33;https://hedonism.co.uk/product/barde-haut-2005
HED90479;Morey St Denis Truchot Martin 2005;2005;75cl;12;Red;France;Burgundy;2;1650;1375;https://hedonism.co.uk/product/morey-st-denis-truchot-martin-2005
HED90842;Vosne Romanee Clos des Reas Michel Gros 2005;2005;75cl;13;Red;France;Burgundy;6;310;258.33;https://hedonism.co.uk/product/vosne-romanee-clos-des-reas-michel-gros-2005
HED92319;Grand Puy Ducasse 2005;2005;75cl;13;Red;France;Bordeaux;12;65;54.17;https://hedonism.co.uk/product/grand-puy-ducasse-2005
HED93507;Crozes Hermitage Thalabert Jaboulet 2005;2005;75cl;13.5;Red;France;Northern Rhone;1;58;48.33;https://hedonism.co.uk/product/crozes-hermitage-thalabert-jaboulet-2005
HED93574;Beaulieu Vineyard Georges de Latour Private Reserve Cabernet Sauvignon (Mid Shoulder) 2005;2005;75cl;14.5;Red;United States;USA;1;116;96.67;https://hedonism.co.uk/product/beaulieu-vineyard-georges-de-latour-private-reserve-cabernet-sauvignon-mid-shoulder-2005
HED93623;Heitz Martha`s Vineyard Cabernet Sauvignon Magnum 2005;2005;150cl;14.5;Red;United States;USA;1;550;458.33;https://hedonism.co.uk/product/heitz-marthas-vineyard-cabernet-sauvignon-magnum-2005
HED94356;Cote Rotie Les Jumelles Jaboulet 2005;2005;75cl;13;Red;France;Northern Rhone;2;95;79.17;https://hedonism.co.uk/product/cote-rotie-les-jumelles-jaboulet-2005
HED94686;Cos Labory 2005;2005;75cl;13.5;Red;France;Bordeaux;2;55;45.83;https://hedonism.co.uk/product/cos-labory-2005
HED94897;Jim Barry The Armagh 2005;2005;75cl;15;Red;Australia;Australia;1;269;224.17;https://hedonism.co.uk/product/jim-barry-armagh-2005
HED96120;Niepoort Vintage 2005;2005;75cl;20;Red;Portugal;Port ;9;115;95.83;https://hedonism.co.uk/product/niepoort-vintage-2005
HED96145;Remirez de Ganuza Rioja Gran Reserva 2005;2005;75cl;;Red;Spain;Spain;2;275;229.17;https://hedonism.co.uk/product/remirez-de-ganuza-rioja-gran-reserva-2005
HED96751;Haut Marbuzet 2005;2005;75cl;13.5;Red;France;Bordeaux;8;65;54.17;https://hedonism.co.uk/product/haut-marbuzet-2005
HED96790;Haut Bergey 2005;2005;75cl;13;Red;France;Bordeaux;30;50;41.67;https://hedonism.co.uk/product/haut-bergey-2005
HED97021;Pavie Macquin 2005;2005;75cl;15;Red;France;Bordeaux;18;130;108.33;https://hedonism.co.uk/product/pavie-macquin-2005
HED97091;Richebourg Thibault Liger Belair 2005;2005;75cl;14;Red;France;Burgundy;1;950;791.67;https://hedonism.co.uk/product/richebourg-thibault-liger-belair-2005
HED97092;Chambolle Musigny Aux Beaux Bruns Ghislaine Barthod 2005;2005;75cl;13.5;Red;France;Burgundy;3;325;270.83;https://hedonism.co.uk/product/chambolle-musigny-aux-beaux-bruns-ghislaine-barthod-2005
HED97113;Gevrey Chambertin Vieilles Vignes Denis Bachelet 2005;2005;75cl;;Red;France;Burgundy;1;225;187.5;https://hedonism.co.uk/product/gevrey-chambertin-vieilles-vignes-denis-bachelet-2005
HED97114;Craggy Range Le Sol Magnum 2005;2005;150cl;14;Red;New Zealand;New Zealand;3;160;133.33;https://hedonism.co.uk/product/craggy-range-le-sol-magnum-2005
HED97245;Monbousquet 2005;2005;75cl;14;Red;France;Bordeaux;11;110;91.67;https://hedonism.co.uk/product/monbousquet-2005
HED97265;Monbrison 2005;2005;75cl;13.5;Red;France;Bordeaux;12;55;45.83;https://hedonism.co.uk/product/monbrison-2005
HED97286;Malescot St Exupery 2005;2005;75cl;13.5;Red;France;Bordeaux;28;130;108.33;https://hedonism.co.uk/product/malescot-st-exupery-2005
HED97325;Cornas Reynard Allemand 2005;2005;75cl;13;Red;France;Northern Rhone;6;575;479.17;https://hedonism.co.uk/product/cornas-reynard-allemand-2005
HED97346;Gloria Magnum 2005;2005;150cl;13;Red;France;Bordeaux;6;140;116.67;https://hedonism.co.uk/product/gloria-magnum-2005
HED97386;L`Arrosee 2005;2005;75cl;13.5;Red;France;Bordeaux;20;85;70.83;https://hedonism.co.uk/product/larrosee-2005
HED97402;Pavillon Rouge Margaux 300cl 2005;2005;300cl;13.5;Red;France;Bordeaux;3;975;812.5;https://hedonism.co.uk/product/pavillon-rouge-margaux-300cl-2005
HED97440;Savigny Les Beaune La Dominode Paul Pavelot Magnum 2005;2005;150cl;13;Red;France;Burgundy;3;175;145.83;https://hedonism.co.uk/product/savigny-les-beaune-la-dominode-paul-pavelot-magnum-2005
HED97511;Two Hands Coach House Block Shiraz 2005;2005;75cl;15.5;Red;Australia;Australia;30;75.6;63;https://hedonism.co.uk/product/two-hands-coach-house-block-shiraz-2005
HED97512;Elderton Command Shiraz 2005;2005;75cl;14.5;Red;Australia;Australia;4;70;58.33;https://hedonism.co.uk/product/elderton-command-shiraz-2005
HED97536;Chambertin Bernard Dugat-Py 2005;2005;75cl;13.5;Red;France;Burgundy;1;3200;2666.67;https://hedonism.co.uk/product/chambertin-bernard-dugat-py-2005
HED97538;Clos de la Roche Domaine Dujac Half 2005;2005;37.5cl;13.5;Red;France;Burgundy;6;900;750;https://hedonism.co.uk/product/clos-de-la-roche-domaine-dujac-half-2005
HED97547;Pibran 2005;2005;75cl;13.5;Red;France;Bordeaux;2;50;41.67;https://hedonism.co.uk/product/pibran-2005
HED97556;Croix de Labrie 2005;2005;75cl;13.5;Red;France;Bordeaux;12;85;70.83;https://hedonism.co.uk/product/croix-de-labrie-2005
HED97589;Caronne Ste Gemme 2005;2005;75cl;13.5;Red;France;Bordeaux;1;35;29.17;https://hedonism.co.uk/product/caronne-ste-gemme-2005
HED97630;Chambolle Musigny Ghislaine Barthod 2005;2005;75cl;13;Red;France;Burgundy;2;240;200;https://hedonism.co.uk/product/chambolle-musigny-ghislaine-barthod-2005
HED97631;Gevrey Chambertin Combe Aux Moines Domaine Fourrier 2005;2005;75cl;13.5;Red;France;Burgundy;1;400;333.33;https://hedonism.co.uk/product/gevrey-chambertin-combe-aux-moines-domaine-fourrier-2005
HED27045;Chateauneuf du Pape Cuvee Reservee Pegau 2005;2005;75cl;14;Red;France;Southern Rhone;13;80;66.67;https://hedonism.co.uk/product/chateauneuf-du-pape-cuvee-reservee-pegau-2005
HED97739;Chateauneuf du Pape Cuvee du Quet Mas de Boislauzon 2005;2005;75cl;15;Red;France;Southern Rhone;5;85;70.83;https://hedonism.co.uk/product/chateauneuf-du-pape-cuvee-du-quet-mas-de-boislauzon-2005
HED97723;Lanessan 2005;2005;75cl;13.5;Red;France;Bordeaux;9;32;26.67;https://hedonism.co.uk/product/lanessan-2005
HED97679;De la Grave 2005;2005;75cl;13;Red;France;Bordeaux;3;20;16.67;https://hedonism.co.uk/product/de-la-grave-2005
HED97776;Marojallia 2005;2005;75cl;13;Red;France;Bordeaux;12;120;100;https://hedonism.co.uk/product/marojallia-2005
HED97693;Nuits St Georges Les Vaucrains Robert Chevillon 2005;2005;75cl;13.5;Red;France;Burgundy;1;190;158.33;https://hedonism.co.uk/product/nuits-st-georges-les-vaucrains-robert-chevillon-2005
HED97876;Nuits St Georges Les Roncieres Robert Chevillon 2005;2005;75cl;13.5;Red;France;Burgundy;6;235;195.83;https://hedonism.co.uk/product/nuits-st-georges-les-roncieres-robert-chevillon-2005
HED97901;Bonnes Mares Lucien Le Moine 2005;2005;75cl;13.5;Red;France;Burgundy;4;575;479.17;https://hedonism.co.uk/product/bonnes-mares-lucien-le-moine-2005
HED97959;Picard 2005;2005;75cl;12.5;Red;France;Bordeaux;3;28;23.33;https://hedonism.co.uk/product/picard-2005
HED97977;Latricieres Chambertin Rossignol-Trapet 2005;2005;75cl;13;Red;France;Burgundy;1;300;250;https://hedonism.co.uk/product/latricieres-chambertin-rossignol-trapet-2005
HED98042;Labegorce 2005;2005;75cl;13.5;Red;France;Bordeaux;2;70;58.33;https://hedonism.co.uk/product/labegorce-2005
HED98059;Corton Pougets Jadot 2005;2005;75cl;13.5;Red;France;Burgundy;2;200;166.67;https://hedonism.co.uk/product/corton-pougets-jadot-2005
HED98078;Contino Reserva 2005;2005;75cl;14;Red;Spain;Spain;1;65;54.17;https://hedonism.co.uk/product/contino-reserva-2005
HED98205;Richebourg Anne Gros 2005;2005;75cl;13;Red;France;Burgundy;3;1500;1250;https://hedonism.co.uk/product/richebourg-anne-gros-2005
HED98255;La Fleur Pourret 2005;2005;75cl;14;Red;France;Bordeaux;12;35;29.17;https://hedonism.co.uk/product/la-fleur-pourret-2005
HED98366;Beausejour Becot 2005;2005;75cl;14;Red;France;Bordeaux;12;120;100;https://hedonism.co.uk/product/beausejour-becot-2005
HED98456;Latricieres Chambertin Dominique Laurent 2005;2005;75cl;13.5;Red;France;Burgundy;10;300;250;https://hedonism.co.uk/product/latricieres-chambertin-dominique-laurent-2005
HED98532;Cote Rotie Rostaing 2005;2005;75cl;13;Red;France;Northern Rhone;3;125;104.17;https://hedonism.co.uk/product/cote-rotie-rostaing-2005
HED98556;Tour St Bonnet 2005;2005;75cl;12.5;Red;France;Bordeaux;12;38;31.67;https://hedonism.co.uk/product/tour-st-bonnet-2005
HED98602;Cotes du Rhone Ceps Centenaires La Meme Gramenon 2005;2005;75cl;14.5;Red;France;Southern Rhone;4;200;166.67;https://hedonism.co.uk/product/cotes-du-rhone-ceps-centenaires-la-meme-gramenon-2005
HED98639;Clos St Denis Pierre Amiot 2005;2005;75cl;13.5;Red;France;Burgundy;1;600;500;https://hedonism.co.uk/product/clos-st-denis-pierre-amiot-2005
HED98640;Chateauneuf du Pape Reserve des Deux Freres Pierre Usseglio 2005;2005;75cl;15;Red;France;Southern Rhone;1;135;112.5;https://hedonism.co.uk/product/chateauneuf-du-pape-reserve-des-deux-freres-pierre-usseglio-2005
HED98641;Talbot Half 2005;2005;37.5cl;13;Red;France;Bordeaux;19;65;54.17;https://hedonism.co.uk/product/talbot-half-2005
HED98729;Barbaresco Rabaja Giacosa 2005;2005;75cl;14;Red;Italy;Italy;6;255;212.5;https://hedonism.co.uk/product/barbaresco-rabaja-giacosa-2005
HED11042;Clos D`Agon 2005;2005;75cl;13.5;Red;Spain;Spain;3;130;108.33;https://hedonism.co.uk/product/clos-dagon-2005
HED98774;Turriga Argiolas 2005;2005;75cl;14.5;Red;Italy;Italy;3;120;100;https://hedonism.co.uk/product/turriga-argiolas-2005
HED98776;Brunello di Montalcino Tenuta Nuova Casanova di Neri 2005;2005;75cl;14.5;Red;Italy;Italy;10;130;108.33;https://hedonism.co.uk/product/brunello-di-montalcino-tenuta-nuova-casanova-di-neri-2005
HED27549;Corton Tollot Beaut 2005;2005;75cl;13.5;Red;France;Burgundy;2;190;158.33;https://hedonism.co.uk/product/corton-tollot-beaut-2005
HED54004;Carruades de Lafite 2005;2005;75cl;13;Red;France;Bordeaux;1;300;250;https://hedonism.co.uk/product/carruades-de-lafite-2005
HED98984;Chambolle Musigny Les Sentiers Robert Groffier 2005;2005;75cl;13.5;Red;France;Burgundy;12;450;375;https://hedonism.co.uk/product/chambolle-musigny-les-sentiers-robert-groffier-2005
HED99003;Les Carmes Haut Brion 2005;2005;75cl;13.5;Red;France;Bordeaux;11;150;125;https://hedonism.co.uk/product/les-carmes-haut-brion-2005-0
HED99085;De Fieuzal Magnum 2005;2005;150cl;;Red;France;Bordeaux;1;130;108.33;https://hedonism.co.uk/product/de-fieuzal-magnum-2005
HED75782;Dom Perignon Rose Magnum 2005;2005;150cl;12.5;Rose;France;Champagne;1;850;708.33;https://hedonism.co.uk/product/dom-perignon-rose-magnum-2005
HED51439;Henriot Cuvee Hemera 2005;2005;75cl;12;White;France;Champagne;4;212;176.67;https://hedonism.co.uk/product/henriot-cuvee-hemera-2005
HED54654;Yquem 2005;2005;75cl;13.5;White;France;Sauternes & Barsac;19;400;333.33;https://hedonism.co.uk/product/yquem-2005
HED82569;Yquem Half 2005;2005;37.5cl;13.5;White;France;Sauternes & Barsac;10;225;187.5;https://hedonism.co.uk/product/yquem-half-2005
